english,sign
he like college,HE LIKE COLLEGE
she like college,SHE LIKE COLLEGE
he like school,HE LIKE SCHOOL
he drink movie,HE DRINK MOVIE
he want book,HE WANT BOOK
he want cricket,HE WANT CRICKET
i play school,I PLAY SCHOOL
you eat cricket,YOU EAT CRICKET
they eat food,THEY EAT FOOD
you see book,YOU SEE BOOK
you study school,YOU STUDY SCHOOL
you drink college,YOU DRINK COLLEGE
you want water,YOU WANT WATER
you drink college,YOU DRINK COLLEGE
you study movie,YOU STUDY MOVIE
i like water,I LIKE WATER
i eat water,I EAT WATER
he play college,HE PLAY COLLEGE
i like college,I LIKE COLLEGE
you play movie,YOU PLAY MOVIE
you play water,YOU PLAY WATER
he drink book,HE DRINK BOOK
he play cricket,HE PLAY CRICKET
she drink water,SHE DRINK WATER
he want school,HE WANT SCHOOL
they go college,THEY GO COLLEGE
he see water,HE SEE WATER
we play cricket,WE PLAY CRICKET
she play food,SHE PLAY FOOD
she go school,SHE GO SCHOOL
we drink movie,WE DRINK MOVIE
you like book,YOU LIKE BOOK
she like book,SHE LIKE BOOK
i study water,I STUDY WATER
i see book,I SEE BOOK
she see book,SHE SEE BOOK
he want water,HE WANT WATER
they like food,THEY LIKE FOOD
they study movie,THEY STUDY MOVIE
you see food,YOU SEE FOOD
we like food,WE LIKE FOOD
you study book,YOU STUDY BOOK
you play water,YOU PLAY WATER
they want movie,THEY WANT MOVIE
he study water,HE STUDY WATER
she play cricket,SHE PLAY CRICKET
you study food,YOU STUDY FOOD
we see water,WE SEE WATER
we play book,WE PLAY BOOK
he study water,HE STUDY WATER
she like cricket,SHE LIKE CRICKET
i like book,I LIKE BOOK
you eat book,YOU EAT BOOK
i play movie,I PLAY MOVIE
i study food,I STUDY FOOD
i see cricket,I SEE CRICKET
they eat food,THEY EAT FOOD
he eat school,HE EAT SCHOOL
we eat food,WE EAT FOOD
i see cricket,I SEE CRICKET
we drink book,WE DRINK BOOK
they go book,THEY GO BOOK
he go cricket,HE GO CRICKET
she play water,SHE PLAY WATER
we see food,WE SEE FOOD
he like water,HE LIKE WATER
you study movie,YOU STUDY MOVIE
we want book,WE WANT BOOK
you drink college,YOU DRINK COLLEGE
he see book,HE SEE BOOK
he play water,HE PLAY WATER
he go college,HE GO COLLEGE
he like book,HE LIKE BOOK
i go college,I GO COLLEGE
he want college,HE WANT COLLEGE
we like cricket,WE LIKE CRICKET
he study cricket,HE STUDY CRICKET
i play school,I PLAY SCHOOL
she go movie,SHE GO MOVIE
they want movie,THEY WANT MOVIE
i study cricket,I STUDY CRICKET
i drink food,I DRINK FOOD
she go movie,SHE GO MOVIE
he go food,HE GO FOOD
you eat book,YOU EAT BOOK
he go movie,HE GO MOVIE
i eat book,I EAT BOOK
you want college,YOU WANT COLLEGE
he go movie,HE GO MOVIE
we eat water,WE EAT WATER
you go food,YOU GO FOOD
you eat water,YOU EAT WATER
we like cricket,WE LIKE CRICKET
i like cricket,I LIKE CRICKET
they go book,THEY GO BOOK
you go book,YOU GO BOOK
i eat book,I EAT BOOK
she want school,SHE WANT SCHOOL
they like water,THEY LIKE WATER
they want book,THEY WANT BOOK
you eat cricket,YOU EAT CRICKET
we want book,WE WANT BOOK
she go college,SHE GO COLLEGE
i see college,I SEE COLLEGE
he eat school,HE EAT SCHOOL
i see school,I SEE SCHOOL
they go food,THEY GO FOOD
she drink food,SHE DRINK FOOD
they study book,THEY STUDY BOOK
they go movie,THEY GO MOVIE
he eat college,HE EAT COLLEGE
he study college,HE STUDY COLLEGE
you play school,YOU PLAY SCHOOL
i want school,I WANT SCHOOL
you want cricket,YOU WANT CRICKET
we see water,WE SEE WATER
we drink food,WE DRINK FOOD
i like school,I LIKE SCHOOL
you drink school,YOU DRINK SCHOOL
she want movie,SHE WANT MOVIE
she play cricket,SHE PLAY CRICKET
we eat cricket,WE EAT CRICKET
he go college,HE GO COLLEGE
you go school,YOU GO SCHOOL
we eat cricket,WE EAT CRICKET
you want cricket,YOU WANT CRICKET
we eat school,WE EAT SCHOOL
i want water,I WANT WATER
we go movie,WE GO MOVIE
i study food,I STUDY FOOD
they go movie,THEY GO MOVIE
she play book,SHE PLAY BOOK
i like water,I LIKE WATER
they drink school,THEY DRINK SCHOOL
we eat book,WE EAT BOOK
i eat school,I EAT SCHOOL
you play movie,YOU PLAY MOVIE
we eat water,WE EAT WATER
he eat water,HE EAT WATER
you see book,YOU SEE BOOK
they like movie,THEY LIKE MOVIE
they drink food,THEY DRINK FOOD
you want water,YOU WANT WATER
you drink college,YOU DRINK COLLEGE
she eat book,SHE EAT BOOK
he see water,HE SEE WATER
he want book,HE WANT BOOK
he play cricket,HE PLAY CRICKET
he go water,HE GO WATER
you like food,YOU LIKE FOOD
we study food,WE STUDY FOOD
i drink food,I DRINK FOOD
she play college,SHE PLAY COLLEGE
you go food,YOU GO FOOD
they play cricket,THEY PLAY CRICKET
you study food,YOU STUDY FOOD
they like book,THEY LIKE BOOK
i want water,I WANT WATER
he eat food,HE EAT FOOD
i want food,I WANT FOOD
he go book,HE GO BOOK
you want school,YOU WANT SCHOOL
they like food,THEY LIKE FOOD
they see food,THEY SEE FOOD
you want school,YOU WANT SCHOOL
we go movie,WE GO MOVIE
she like cricket,SHE LIKE CRICKET
i drink book,I DRINK BOOK
we go food,WE GO FOOD
she eat cricket,SHE EAT CRICKET
they see water,THEY SEE WATER
i drink college,I DRINK COLLEGE
they play cricket,THEY PLAY CRICKET
you like cricket,YOU LIKE CRICKET
i want food,I WANT FOOD
i play movie,I PLAY MOVIE
she see cricket,SHE SEE CRICKET
they like cricket,THEY LIKE CRICKET
he eat college,HE EAT COLLEGE
she like food,SHE LIKE FOOD
she study school,SHE STUDY SCHOOL
we drink movie,WE DRINK MOVIE
she play movie,SHE PLAY MOVIE
you eat food,YOU EAT FOOD
she see school,SHE SEE SCHOOL
she go water,SHE GO WATER
you like school,YOU LIKE SCHOOL
we eat water,WE EAT WATER
he play school,HE PLAY SCHOOL
i study college,I STUDY COLLEGE
they want book,THEY WANT BOOK
i go cricket,I GO CRICKET
he study movie,HE STUDY MOVIE
i see water,I SEE WATER
she see college,SHE SEE COLLEGE
they want book,THEY WANT BOOK
you want book,YOU WANT BOOK
they go food,THEY GO FOOD
she go food,SHE GO FOOD
he like book,HE LIKE BOOK
we drink water,WE DRINK WATER
we go school,WE GO SCHOOL
we like book,WE LIKE BOOK
they go school,THEY GO SCHOOL
i play water,I PLAY WATER
you like school,YOU LIKE SCHOOL
we see food,WE SEE FOOD
you go movie,YOU GO MOVIE
he see college,HE SEE COLLEGE
they want college,THEY WANT COLLEGE
they see movie,THEY SEE MOVIE
he study water,HE STUDY WATER
i see food,I SEE FOOD
they eat school,THEY EAT SCHOOL
we like cricket,WE LIKE CRICKET
i like book,I LIKE BOOK
i study movie,I STUDY MOVIE
you eat cricket,YOU EAT CRICKET
she see water,SHE SEE WATER
he go food,HE GO FOOD
she play food,SHE PLAY FOOD
they eat food,THEY EAT FOOD
you study food,YOU STUDY FOOD
he study college,HE STUDY COLLEGE
they see water,THEY SEE WATER
they study water,THEY STUDY WATER
you drink water,YOU DRINK WATER
they want book,THEY WANT BOOK
you go college,YOU GO COLLEGE
they see college,THEY SEE COLLEGE
i eat movie,I EAT MOVIE
she like movie,SHE LIKE MOVIE
they play cricket,THEY PLAY CRICKET
you play movie,YOU PLAY MOVIE
he eat food,HE EAT FOOD
she see movie,SHE SEE MOVIE
she eat water,SHE EAT WATER
he go water,HE GO WATER
i drink school,I DRINK SCHOOL
i want movie,I WANT MOVIE
she eat water,SHE EAT WATER
she like college,SHE LIKE COLLEGE
we eat food,WE EAT FOOD
you want college,YOU WANT COLLEGE
we study school,WE STUDY SCHOOL
he study water,HE STUDY WATER
he study movie,HE STUDY MOVIE
i study cricket,I STUDY CRICKET
we go book,WE GO BOOK
she see food,SHE SEE FOOD
we eat college,WE EAT COLLEGE
we want school,WE WANT SCHOOL
they see school,THEY SEE SCHOOL
you drink food,YOU DRINK FOOD
i study college,I STUDY COLLEGE
they study movie,THEY STUDY MOVIE
she eat college,SHE EAT COLLEGE
we play food,WE PLAY FOOD
she play movie,SHE PLAY MOVIE
we eat cricket,WE EAT CRICKET
you see movie,YOU SEE MOVIE
she study college,SHE STUDY COLLEGE
she see book,SHE SEE BOOK
we study food,WE STUDY FOOD
we play college,WE PLAY COLLEGE
he like cricket,HE LIKE CRICKET
he see food,HE SEE FOOD
i study school,I STUDY SCHOOL
she go college,SHE GO COLLEGE
we drink movie,WE DRINK MOVIE
we play cricket,WE PLAY CRICKET
they drink water,THEY DRINK WATER
she want food,SHE WANT FOOD
he eat food,HE EAT FOOD
he see movie,HE SEE MOVIE
you like food,YOU LIKE FOOD
they study school,THEY STUDY SCHOOL
we see food,WE SEE FOOD
i play school,I PLAY SCHOOL
he see book,HE SEE BOOK
they drink school,THEY DRINK SCHOOL
he drink food,HE DRINK FOOD
she study movie,SHE STUDY MOVIE
i drink book,I DRINK BOOK
you go college,YOU GO COLLEGE
i study cricket,I STUDY CRICKET
i drink movie,I DRINK MOVIE
i study college,I STUDY COLLEGE
they go school,THEY GO SCHOOL
we study cricket,WE STUDY CRICKET
they study water,THEY STUDY WATER
you want book,YOU WANT BOOK
she go movie,SHE GO MOVIE
he play school,HE PLAY SCHOOL
you like movie,YOU LIKE MOVIE
i eat water,I EAT WATER
he drink food,HE DRINK FOOD
we want school,WE WANT SCHOOL
they see college,THEY SEE COLLEGE
she play movie,SHE PLAY MOVIE
he eat college,HE EAT COLLEGE
you see school,YOU SEE SCHOOL
i eat school,I EAT SCHOOL
we like college,WE LIKE COLLEGE
you eat cricket,YOU EAT CRICKET
i see movie,I SEE MOVIE
we drink book,WE DRINK BOOK
they play cricket,THEY PLAY CRICKET
she want movie,SHE WANT MOVIE
we want movie,WE WANT MOVIE
you like cricket,YOU LIKE CRICKET
i see water,I SEE WATER
you drink school,YOU DRINK SCHOOL
we like food,WE LIKE FOOD
he study college,HE STUDY COLLEGE
i like school,I LIKE SCHOOL
you want college,YOU WANT COLLEGE
we play food,WE PLAY FOOD
i like book,I LIKE BOOK
i see school,I SEE SCHOOL
they want school,THEY WANT SCHOOL
we study school,WE STUDY SCHOOL
she want college,SHE WANT COLLEGE
you drink movie,YOU DRINK MOVIE
he drink food,HE DRINK FOOD
he like water,HE LIKE WATER
he see water,HE SEE WATER
you study school,YOU STUDY SCHOOL
i see movie,I SEE MOVIE
i study food,I STUDY FOOD
you want school,YOU WANT SCHOOL
i play school,I PLAY SCHOOL
you like movie,YOU LIKE MOVIE
he want cricket,HE WANT CRICKET
we study school,WE STUDY SCHOOL
we see cricket,WE SEE CRICKET
we play college,WE PLAY COLLEGE
she want movie,SHE WANT MOVIE
i drink school,I DRINK SCHOOL
we eat water,WE EAT WATER
i study water,I STUDY WATER
she study cricket,SHE STUDY CRICKET
they drink book,THEY DRINK BOOK
he eat book,HE EAT BOOK
we go college,WE GO COLLEGE
we want book,WE WANT BOOK
we see college,WE SEE COLLEGE
he study school,HE STUDY SCHOOL
i go water,I GO WATER
i study movie,I STUDY MOVIE
you play water,YOU PLAY WATER
they play cricket,THEY PLAY CRICKET
she drink school,SHE DRINK SCHOOL
he study movie,HE STUDY MOVIE
he drink water,HE DRINK WATER
we eat college,WE EAT COLLEGE
he drink food,HE DRINK FOOD
they like movie,THEY LIKE MOVIE
you want cricket,YOU WANT CRICKET
she want water,SHE WANT WATER
he go college,HE GO COLLEGE
she like book,SHE LIKE BOOK
he like book,HE LIKE BOOK
we play book,WE PLAY BOOK
they eat water,THEY EAT WATER
i want school,I WANT SCHOOL
he study book,HE STUDY BOOK
he want cricket,HE WANT CRICKET
he study food,HE STUDY FOOD
we go movie,WE GO MOVIE
they drink cricket,THEY DRINK CRICKET
you play water,YOU PLAY WATER
you like water,YOU LIKE WATER
you go cricket,YOU GO CRICKET
they study book,THEY STUDY BOOK
she see school,SHE SEE SCHOOL
we see school,WE SEE SCHOOL
they study movie,THEY STUDY MOVIE
i see school,I SEE SCHOOL
we play cricket,WE PLAY CRICKET
i see movie,I SEE MOVIE
you want food,YOU WANT FOOD
she want water,SHE WANT WATER
they see cricket,THEY SEE CRICKET
they see movie,THEY SEE MOVIE
she go book,SHE GO BOOK
we see cricket,WE SEE CRICKET
they like book,THEY LIKE BOOK
she play cricket,SHE PLAY CRICKET
you drink water,YOU DRINK WATER
they drink book,THEY DRINK BOOK
she drink water,SHE DRINK WATER
i study water,I STUDY WATER
i want book,I WANT BOOK
he want school,HE WANT SCHOOL
i eat water,I EAT WATER
we eat cricket,WE EAT CRICKET
you play school,YOU PLAY SCHOOL
i eat movie,I EAT MOVIE
she eat movie,SHE EAT MOVIE
i like water,I LIKE WATER
you go cricket,YOU GO CRICKET
she drink book,SHE DRINK BOOK
we want book,WE WANT BOOK
you study movie,YOU STUDY MOVIE
we see movie,WE SEE MOVIE
he see school,HE SEE SCHOOL
you like cricket,YOU LIKE CRICKET
he go book,HE GO BOOK
he see cricket,HE SEE CRICKET
he want cricket,HE WANT CRICKET
they want movie,THEY WANT MOVIE
we see water,WE SEE WATER
we eat movie,WE EAT MOVIE
you study college,YOU STUDY COLLEGE
he play book,HE PLAY BOOK
you study movie,YOU STUDY MOVIE
he eat school,HE EAT SCHOOL
you drink movie,YOU DRINK MOVIE
they see cricket,THEY SEE CRICKET
they want water,THEY WANT WATER
he drink movie,HE DRINK MOVIE
he eat school,HE EAT SCHOOL
she like school,SHE LIKE SCHOOL
she want cricket,SHE WANT CRICKET
they go school,THEY GO SCHOOL
she like cricket,SHE LIKE CRICKET
we play school,WE PLAY SCHOOL
she see food,SHE SEE FOOD
he study water,HE STUDY WATER
she want college,SHE WANT COLLEGE
he want movie,HE WANT MOVIE
she go water,SHE GO WATER
they eat movie,THEY EAT MOVIE
i play movie,I PLAY MOVIE
they eat cricket,THEY EAT CRICKET
you drink movie,YOU DRINK MOVIE
you study water,YOU STUDY WATER
we like college,WE LIKE COLLEGE
i go school,I GO SCHOOL
he study cricket,HE STUDY CRICKET
i like movie,I LIKE MOVIE
we see book,WE SEE BOOK
she like food,SHE LIKE FOOD
you like food,YOU LIKE FOOD
he study water,HE STUDY WATER
she play movie,SHE PLAY MOVIE
you want college,YOU WANT COLLEGE
we want cricket,WE WANT CRICKET
i play school,I PLAY SCHOOL
i eat movie,I EAT MOVIE
you eat school,YOU EAT SCHOOL
they play cricket,THEY PLAY CRICKET
he see book,HE SEE BOOK
you drink cricket,YOU DRINK CRICKET
i like water,I LIKE WATER
you eat college,YOU EAT COLLEGE
they eat college,THEY EAT COLLEGE
i study cricket,I STUDY CRICKET
you go food,YOU GO FOOD
he want food,HE WANT FOOD
you eat food,YOU EAT FOOD
she eat food,SHE EAT FOOD
he drink water,HE DRINK WATER
she play college,SHE PLAY COLLEGE
i drink school,I DRINK SCHOOL
he study college,HE STUDY COLLEGE
she study school,SHE STUDY SCHOOL
you study water,YOU STUDY WATER
they see school,THEY SEE SCHOOL
you see movie,YOU SEE MOVIE
they eat movie,THEY EAT MOVIE
we go movie,WE GO MOVIE
they go cricket,THEY GO CRICKET
we drink book,WE DRINK BOOK
we study college,WE STUDY COLLEGE
they want school,THEY WANT SCHOOL
he drink school,HE DRINK SCHOOL
he see water,HE SEE WATER
i drink food,I DRINK FOOD
they go book,THEY GO BOOK
you drink school,YOU DRINK SCHOOL
they study cricket,THEY STUDY CRICKET
they see book,THEY SEE BOOK
they study movie,THEY STUDY MOVIE
they study food,THEY STUDY FOOD
they like food,THEY LIKE FOOD
you eat water,YOU EAT WATER
i like school,I LIKE SCHOOL
he see book,HE SEE BOOK
you like movie,YOU LIKE MOVIE
he see book,HE SEE BOOK
we play water,WE PLAY WATER
he go water,HE GO WATER
they study book,THEY STUDY BOOK
i like college,I LIKE COLLEGE
they see food,THEY SEE FOOD
he go school,HE GO SCHOOL
they play cricket,THEY PLAY CRICKET
they want movie,THEY WANT MOVIE
she like water,SHE LIKE WATER
you study movie,YOU STUDY MOVIE
they like school,THEY LIKE SCHOOL
she see school,SHE SEE SCHOOL
she play college,SHE PLAY COLLEGE
they want school,THEY WANT SCHOOL
we play movie,WE PLAY MOVIE
you go food,YOU GO FOOD
he play college,HE PLAY COLLEGE
she study school,SHE STUDY SCHOOL
she want college,SHE WANT COLLEGE
you play movie,YOU PLAY MOVIE
she drink food,SHE DRINK FOOD
she like food,SHE LIKE FOOD
you want food,YOU WANT FOOD
i study book,I STUDY BOOK
she want book,SHE WANT BOOK
i play book,I PLAY BOOK
she go cricket,SHE GO CRICKET
you drink school,YOU DRINK SCHOOL
she see food,SHE SEE FOOD
we play cricket,WE PLAY CRICKET
they play cricket,THEY PLAY CRICKET
they eat college,THEY EAT COLLEGE
they see movie,THEY SEE MOVIE
he study college,HE STUDY COLLEGE
they study school,THEY STUDY SCHOOL
you play book,YOU PLAY BOOK
you see college,YOU SEE COLLEGE
we go cricket,WE GO CRICKET
we go college,WE GO COLLEGE
they like food,THEY LIKE FOOD
you study movie,YOU STUDY MOVIE
she like college,SHE LIKE COLLEGE
we study college,WE STUDY COLLEGE
we want food,WE WANT FOOD
i study movie,I STUDY MOVIE
he see movie,HE SEE MOVIE
they go college,THEY GO COLLEGE
i play movie,I PLAY MOVIE
they drink book,THEY DRINK BOOK
they go water,THEY GO WATER
he go cricket,HE GO CRICKET
they eat cricket,THEY EAT CRICKET
she want college,SHE WANT COLLEGE
they want school,THEY WANT SCHOOL
she want water,SHE WANT WATER
she see school,SHE SEE SCHOOL
i want book,I WANT BOOK
i like school,I LIKE SCHOOL
they want book,THEY WANT BOOK
i eat college,I EAT COLLEGE
she want food,SHE WANT FOOD
they eat water,THEY EAT WATER
he like water,HE LIKE WATER
they go food,THEY GO FOOD
he study cricket,HE STUDY CRICKET
i play water,I PLAY WATER
we study movie,WE STUDY MOVIE
we go food,WE GO FOOD
she see book,SHE SEE BOOK
she like food,SHE LIKE FOOD
you go school,YOU GO SCHOOL
we see water,WE SEE WATER
she eat movie,SHE EAT MOVIE
we like book,WE LIKE BOOK
you drink school,YOU DRINK SCHOOL
we eat school,WE EAT SCHOOL
she go movie,SHE GO MOVIE
he want movie,HE WANT MOVIE
she drink college,SHE DRINK COLLEGE
he eat school,HE EAT SCHOOL
she play book,SHE PLAY BOOK
you see book,YOU SEE BOOK
we like water,WE LIKE WATER
we study movie,WE STUDY MOVIE
you like cricket,YOU LIKE CRICKET
they play college,THEY PLAY COLLEGE
he eat food,HE EAT FOOD
they go food,THEY GO FOOD
we like book,WE LIKE BOOK
you want cricket,YOU WANT CRICKET
he want food,HE WANT FOOD
we play movie,WE PLAY MOVIE
you go food,YOU GO FOOD
they play college,THEY PLAY COLLEGE
we play book,WE PLAY BOOK
you eat cricket,YOU EAT CRICKET
they study book,THEY STUDY BOOK
they play cricket,THEY PLAY CRICKET
she eat cricket,SHE EAT CRICKET
i study cricket,I STUDY CRICKET
i drink movie,I DRINK MOVIE
he like cricket,HE LIKE CRICKET
he study food,HE STUDY FOOD
she want college,SHE WANT COLLEGE
you want movie,YOU WANT MOVIE
they drink school,THEY DRINK SCHOOL
they go cricket,THEY GO CRICKET
i eat college,I EAT COLLEGE
they want food,THEY WANT FOOD
i go cricket,I GO CRICKET
i see cricket,I SEE CRICKET
i eat book,I EAT BOOK
you see school,YOU SEE SCHOOL
i want food,I WANT FOOD
he eat movie,HE EAT MOVIE
you eat book,YOU EAT BOOK
they drink cricket,THEY DRINK CRICKET
they want food,THEY WANT FOOD
he see school,HE SEE SCHOOL
she study food,SHE STUDY FOOD
he study college,HE STUDY COLLEGE
he see school,HE SEE SCHOOL
he eat book,HE EAT BOOK
you go school,YOU GO SCHOOL
she drink college,SHE DRINK COLLEGE
he drink water,HE DRINK WATER
he eat water,HE EAT WATER
we like cricket,WE LIKE CRICKET
they study food,THEY STUDY FOOD
he want food,HE WANT FOOD
she drink cricket,SHE DRINK CRICKET
she want water,SHE WANT WATER
i study cricket,I STUDY CRICKET
she play movie,SHE PLAY MOVIE
you see water,YOU SEE WATER
they study cricket,THEY STUDY CRICKET
i see school,I SEE SCHOOL
they go college,THEY GO COLLEGE
we eat movie,WE EAT MOVIE
she play cricket,SHE PLAY CRICKET
they like food,THEY LIKE FOOD
you go book,YOU GO BOOK
they play school,THEY PLAY SCHOOL
you play cricket,YOU PLAY CRICKET
she see food,SHE SEE FOOD
they go movie,THEY GO MOVIE
they go college,THEY GO COLLEGE
they play school,THEY PLAY SCHOOL
they drink school,THEY DRINK SCHOOL
she eat college,SHE EAT COLLEGE
i play water,I PLAY WATER
we go movie,WE GO MOVIE
you see cricket,YOU SEE CRICKET
i eat food,I EAT FOOD
i eat cricket,I EAT CRICKET
we play water,WE PLAY WATER
you study cricket,YOU STUDY CRICKET
she go food,SHE GO FOOD
they play movie,THEY PLAY MOVIE
i go college,I GO COLLEGE
he like cricket,HE LIKE CRICKET
she go school,SHE GO SCHOOL
you play book,YOU PLAY BOOK
we like water,WE LIKE WATER
they play movie,THEY PLAY MOVIE
i go food,I GO FOOD
she like book,SHE LIKE BOOK
we play school,WE PLAY SCHOOL
i play water,I PLAY WATER
she eat college,SHE EAT COLLEGE
they eat cricket,THEY EAT CRICKET
he like food,HE LIKE FOOD
i see school,I SEE SCHOOL
we eat water,WE EAT WATER
he see water,HE SEE WATER
she drink movie,SHE DRINK MOVIE
we like school,WE LIKE SCHOOL
we go book,WE GO BOOK
she study food,SHE STUDY FOOD
she eat movie,SHE EAT MOVIE
i like cricket,I LIKE CRICKET
they play movie,THEY PLAY MOVIE
we play school,WE PLAY SCHOOL
i see school,I SEE SCHOOL
we want school,WE WANT SCHOOL
we want school,WE WANT SCHOOL
he see food,HE SEE FOOD
she go college,SHE GO COLLEGE
we play school,WE PLAY SCHOOL
you like school,YOU LIKE SCHOOL
they see school,THEY SEE SCHOOL
we go food,WE GO FOOD
you drink college,YOU DRINK COLLEGE
you study movie,YOU STUDY MOVIE
he want water,HE WANT WATER
i like movie,I LIKE MOVIE
she go water,SHE GO WATER
we see water,WE SEE WATER
you want school,YOU WANT SCHOOL
he play movie,HE PLAY MOVIE
you go college,YOU GO COLLEGE
we see college,WE SEE COLLEGE
i like school,I LIKE SCHOOL
she like movie,SHE LIKE MOVIE
i go book,I GO BOOK
they drink food,THEY DRINK FOOD
you eat water,YOU EAT WATER
she like water,SHE LIKE WATER
you like school,YOU LIKE SCHOOL
we study book,WE STUDY BOOK
he study movie,HE STUDY MOVIE
she study movie,SHE STUDY MOVIE
i like school,I LIKE SCHOOL
she play book,SHE PLAY BOOK
she eat school,SHE EAT SCHOOL
they eat water,THEY EAT WATER
we go cricket,WE GO CRICKET
they see college,THEY SEE COLLEGE
i play movie,I PLAY MOVIE
she like water,SHE LIKE WATER
you play college,YOU PLAY COLLEGE
she go movie,SHE GO MOVIE
he eat food,HE EAT FOOD
i drink school,I DRINK SCHOOL
you like movie,YOU LIKE MOVIE
she want water,SHE WANT WATER
you want water,YOU WANT WATER
you study school,YOU STUDY SCHOOL
you study food,YOU STUDY FOOD
we want cricket,WE WANT CRICKET
we go school,WE GO SCHOOL
i see school,I SEE SCHOOL
she drink college,SHE DRINK COLLEGE
he drink school,HE DRINK SCHOOL
you want water,YOU WANT WATER
i see movie,I SEE MOVIE
he play movie,HE PLAY MOVIE
we eat movie,WE EAT MOVIE
you like food,YOU LIKE FOOD
they play cricket,THEY PLAY CRICKET
they see college,THEY SEE COLLEGE
i study water,I STUDY WATER
you want food,YOU WANT FOOD
you like cricket,YOU LIKE CRICKET
he see school,HE SEE SCHOOL
i see cricket,I SEE CRICKET
she see movie,SHE SEE MOVIE
he go college,HE GO COLLEGE
they eat school,THEY EAT SCHOOL
you want water,YOU WANT WATER
they want school,THEY WANT SCHOOL
they like college,THEY LIKE COLLEGE
he eat book,HE EAT BOOK
i eat food,I EAT FOOD
i study book,I STUDY BOOK
you eat food,YOU EAT FOOD
they study movie,THEY STUDY MOVIE
i like college,I LIKE COLLEGE
he see school,HE SEE SCHOOL
he see cricket,HE SEE CRICKET
i study movie,I STUDY MOVIE
she eat food,SHE EAT FOOD
she like school,SHE LIKE SCHOOL
we eat food,WE EAT FOOD
he want food,HE WANT FOOD
i drink school,I DRINK SCHOOL
we like cricket,WE LIKE CRICKET
she study school,SHE STUDY SCHOOL
they see water,THEY SEE WATER
they study cricket,THEY STUDY CRICKET
she play college,SHE PLAY COLLEGE
we like food,WE LIKE FOOD
you eat movie,YOU EAT MOVIE
we want cricket,WE WANT CRICKET
i see college,I SEE COLLEGE
they study college,THEY STUDY COLLEGE
they like cricket,THEY LIKE CRICKET
you see college,YOU SEE COLLEGE
you like college,YOU LIKE COLLEGE
i see movie,I SEE MOVIE
we want college,WE WANT COLLEGE
they go movie,THEY GO MOVIE
they want movie,THEY WANT MOVIE
they go food,THEY GO FOOD
they want water,THEY WANT WATER
they eat school,THEY EAT SCHOOL
he see food,HE SEE FOOD
she like cricket,SHE LIKE CRICKET
i see movie,I SEE MOVIE
he eat book,HE EAT BOOK
we drink water,WE DRINK WATER
they see college,THEY SEE COLLEGE
he drink college,HE DRINK COLLEGE
i study water,I STUDY WATER
i want book,I WANT BOOK
i see food,I SEE FOOD
i eat food,I EAT FOOD
i like movie,I LIKE MOVIE
he play school,HE PLAY SCHOOL
they want food,THEY WANT FOOD
we see school,WE SEE SCHOOL
they drink book,THEY DRINK BOOK
they play water,THEY PLAY WATER
he drink college,HE DRINK COLLEGE
you like book,YOU LIKE BOOK
they eat movie,THEY EAT MOVIE
they drink movie,THEY DRINK MOVIE
she see water,SHE SEE WATER
you drink school,YOU DRINK SCHOOL
we study school,WE STUDY SCHOOL
you drink school,YOU DRINK SCHOOL
she study cricket,SHE STUDY CRICKET
you see movie,YOU SEE MOVIE
she play water,SHE PLAY WATER
we eat college,WE EAT COLLEGE
you study cricket,YOU STUDY CRICKET
they study food,THEY STUDY FOOD
they see food,THEY SEE FOOD
you eat water,YOU EAT WATER
they see school,THEY SEE SCHOOL
you eat food,YOU EAT FOOD
she see cricket,SHE SEE CRICKET
she like college,SHE LIKE COLLEGE
he want college,HE WANT COLLEGE
you want food,YOU WANT FOOD
they see cricket,THEY SEE CRICKET
we want school,WE WANT SCHOOL
they drink college,THEY DRINK COLLEGE
he see college,HE SEE COLLEGE
they play movie,THEY PLAY MOVIE
you study food,YOU STUDY FOOD
you see water,YOU SEE WATER
she want college,SHE WANT COLLEGE
she see movie,SHE SEE MOVIE
you go movie,YOU GO MOVIE
she want movie,SHE WANT MOVIE
you study school,YOU STUDY SCHOOL
we like water,WE LIKE WATER
we study cricket,WE STUDY CRICKET
he study cricket,HE STUDY CRICKET
i eat college,I EAT COLLEGE
you drink college,YOU DRINK COLLEGE
he study movie,HE STUDY MOVIE
she eat book,SHE EAT BOOK
i eat book,I EAT BOOK
he go food,HE GO FOOD
we see water,WE SEE WATER
he see cricket,HE SEE CRICKET
i see movie,I SEE MOVIE
you play movie,YOU PLAY MOVIE
you play school,YOU PLAY SCHOOL
you study cricket,YOU STUDY CRICKET
i want school,I WANT SCHOOL
he play food,HE PLAY FOOD
he study cricket,HE STUDY CRICKET
we drink college,WE DRINK COLLEGE
i drink school,I DRINK SCHOOL
they eat cricket,THEY EAT CRICKET
i want college,I WANT COLLEGE
you eat book,YOU EAT BOOK
i want food,I WANT FOOD
you like school,YOU LIKE SCHOOL
you study school,YOU STUDY SCHOOL
they eat college,THEY EAT COLLEGE
i drink book,I DRINK BOOK
they want movie,THEY WANT MOVIE
he play movie,HE PLAY MOVIE
i play water,I PLAY WATER
they want water,THEY WANT WATER
i study movie,I STUDY MOVIE
i study movie,I STUDY MOVIE
she like cricket,SHE LIKE CRICKET
we eat book,WE EAT BOOK
you want movie,YOU WANT MOVIE
